bus_gush,original_stop_id
100001,3
100005,1
10001,3
100011,5
100012,6
100016,1
100018,2
100021,1
100023,2
100025,2
100026,2
10004,1
100051,2
100053,3
100059,1
100060,2
100065,1
10008,10
100082,3
100084,12
10009,7
1001,1
10011,1
100110,2
100112,2
100116,3
100117,1
10012,7
10013,13
100130,1
10014,8
100141,4
100145,3
100146,8
100151,4
10016,9
100160,2
100165,6
100166,2
100167,2
100168,2
10017,1
100171,1
100177,7
100179,6
100184,8
100185,7
100198,3
100200,1
100214,9
100215,2
100217,2
100218,1
10022,2
100223,1
100224,6
100225,22
100226,11
100227,4
100229,1
10023,1
100231,20
100232,7
100235,8
100239,8
100240,8
100241,2
100242,12
100244,2
100245,1
100246,9
100248,1
100249,2
100251,4
100256,1
100257,6
100269,3
10027,5
100270,3
100271,2
100274,4
100276,5
100277,4
100279,4
100281,3
100282,10
100283,2
100285,2
100289,2
100299,4
100301,6
100303,3
100304,7
100305,2
100306,4
100307,3
100309,3
10031,1
100310,1
100313,1
100315,3
100319,10
10032,6
100320,1
100321,1
100322,1
100323,3
100325,7
100327,1
10033,1
100331,2
100332,3
100335,2
100338,1
100339,1
10034,9
100340,2
100342,3
100343,8
100344,1
100345,2
10035,2
100353,4
100354,2
10036,26
100360,2
100361,2
100362,1
100366,1
100367,2
10037,14
10038,7
10039,1
100392,4
100394,5
100398,3
10040,1
100400,5
10041,8
100411,1
100412,1
100413,1
100414,2
100415,3
100416,2
100417,4
100418,3
100419,1
10042,5
100422,10
100423,2
100424,1
100425,6
100426,6
100428,1
100429,1
100430,1
100436,2
100439,1
100440,1
100441,1
100445,4
100446,1
100447,1
10045,4
100452,5
100463,3
100464,2
100465,3
100466,5
100467,3
100476,1
100478,1
100479,5
10048,1
100480,2
100481,1
100482,1
100484,1
100485,1
100488,4
100489,2
10049,17
100493,2
100496,5
100497,1
100499,2
100516,1
100517,2
100518,1
100519,2
100520,2
100526,3
100527,1
100529,6
100530,1
10054,3
100548,1
100550,1
100556,1
100558,1
10056,2
100561,2
100563,4
100573,2
100574,1
100576,2
100577,2
100578,2
10058,3
100589,1
10059,2
100590,7
100592,1
100593,5
100594,2
100600,2
100602,2
100603,5
100606,5
100608,1
10061,6
100610,2
100611,2
100612,2
100613,3
100614,6
100616,1
100617,1
100618,4
100619,1
100620,1
100621,2
100622,4
100623,5
100624,4
10063,5
10064,6
100641,2
100648,2
100650,1
100654,4
100659,2
100660,3
100663,2
100664,2
100665,4
100666,4
100667,2
100677,1
100687,3
100688,1
100698,2
100700,1
100701,2
100705,1
10071,4
100710,1
10072,5
100722,1
100723,2
100727,2
10073,5
10074,14
100747,1
10075,8
100752,1
100753,1
10076,10
100760,2
100762,1
100763,1
100765,2
100770,1
100772,2
100773,1
100777,1
100779,1
100780,1
100782,2
100786,1
100787,2
100795,1
100797,5
10080,1
100802,1
100805,2
100806,3
100807,4
100812,3
100813,6
100815,9
100816,8
100817,2
100818,2
100819,2
10082,1
100820,2
100821,4
100824,5
100825,3
100827,1
100828,1
10084,4
100848,2
10085,2
100857,1
100859,6
10086,2
100860,12
100861,1
100863,1
100864,1
100866,2
100868,4
100872,4
100873,4
100875,2
10088,1
100887,2
10089,1
100894,3
100899,1
100902,1
100905,1
100906,1
100909,4
100910,1
100937,1
10095,2
10096,2
100962,4
100963,1
100964,3
10099,1
10101,8
10102,10
101029,2
10103,9
10104,7
10105,6
10106,2
10107,4
10108,1
101085,1
10109,6
10110,2
10111,5
10112,2
10114,3
10117,2
10118,1
10119,7
10121,5
10122,9
10123,13
10124,1
10129,1
10130,1
10131,7
10132,2
10133,1
10142,4
10143,3
10144,2
10145,3
10146,3
10147,2
10148,1
10151,4
10152,3
10158,1
10159,2
10160,9
10162,1
10168,3
10172,7
10173,2
10174,3
10195,8
10197,3
10198,2
10200,2
10202,11
10204,3
10206,2
10207,4
10209,1
10215,16
10221,1
10223,1
10231,1
10232,8
10236,4
10240,1
10251,1
10254,2
10256,10
10257,17
10259,9
10260,2
10261,2
10262,9
10264,5
10265,3
10268,3
10270,7
10271,1
10272,2
10273,1
10274,4
10275,2
10276,6
10277,5
10279,1
10280,4
10281,3
10282,2
10283,1
10284,6
10285,6
10286,16
10287,5
10293,3
10294,3
10296,1
10297,2
10300,3
10301,1
10308,1
10309,2
10313,1
10314,4
10315,1
10318,6
10323,1
10329,1
10333,9
10334,2
10335,1
10341,3
10342,2
10343,8
10344,4
10345,9
10346,6
10348,1
10350,3
10361,6
10364,1
10365,4
10366,2
10367,3
10368,8
10369,1
10375,3
10376,5
10381,6
10384,5
10391,2
10393,7
10394,1
10395,4
10397,7
10398,6
10399,4
10402,7
10403,11
10408,2
10410,2
10411,3
10412,4
10413,4
10417,3
10419,2
10420,3
10421,25
10422,7
10423,10
10425,2
10426,36
10427,1
10428,10
10430,6
10431,10
10432,1
10443,1
10444,67
10445,4
10446,6
10447,3
10448,2
10449,3
10450,3
10451,3
10452,2
10457,4
10460,6
10469,1
10473,3
10474,4
10476,2
10477,2
10478,1
10484,2
10498,1
1050,1
10500,2
10502,12
10503,2
10504,5
10506,4
10507,4
10508,3
10509,3
10511,4
10512,1
10514,1
10526,2
10529,5
10534,3
10535,3
10539,1
1054,1
10540,4
10541,2
10545,2
10546,1
10552,1
10553,2
10554,1
10562,8
10568,2
10569,6
10570,12
10571,11
10572,6
10580,3
10586,1
10588,1
10589,2
10591,3
10592,8
10593,6
10594,2
10600,11
10601,2
10602,1
10606,4
10607,9
10611,3
10613,1
10615,3
10618,2
10620,8
10621,1
10622,1
10623,1
10625,2
10626,7
10627,1
10628,9
10629,7
10634,2
10635,3
10636,2
10638,5
10639,5
10643,1
10646,8
10650,7
10653,2
10654,1
10662,1
10666,2
10671,1
10673,5
10674,7
10675,6
10676,3
10677,7
10678,5
10679,8
10684,1
10686,4
10689,1
10707,2
10713,3
10717,4
10723,1
10724,1
10725,1
10726,3
10728,1
10730,3
10733,6
10735,9
10736,6
10737,26
10738,3
10739,1
10741,4
10743,12
10744,6
10745,6
10746,4
10747,4
10749,9
10750,2
10751,2
10756,3
10759,5
10760,1
10761,1
10763,5
10764,9
10765,1
10767,5
10768,1
10769,1
10770,7
10773,5
10778,2
10779,9
10780,4
10781,2
10782,5
10783,6
10784,3
10785,6
10786,3
10787,2
10789,1
10792,9
10794,5
10796,5
10797,9
10798,7
10800,5
10801,2
10802,5
10803,10
10804,17
10806,5
10807,5
10808,6
10814,4
10815,2
10816,9
10817,6
10818,3
1082,1
10822,1
10825,5
10827,1
10828,1
10829,5
1083,4
10830,1
10839,3
10840,3
10841,2
10842,1
10845,1
10864,5
10870,16
10873,4
10874,8
10875,1
10876,4
10877,3
10878,5
10881,12
10882,4
10885,4
10886,1
10889,3
10890,2
10892,7
10893,4
10896,1
10897,2
10898,1
1090,1
10902,5
10906,12
10908,5
10910,12
10912,1
10913,9
10914,5
10915,2
10916,14
10917,3
10918,7
10919,6
10920,8
10921,5
10922,3
10923,9
10925,7
10930,2
10937,5
10964,10
10969,1
10971,1
10973,4
10988,1
10989,5
11001,2
11002,1
11006,7
11008,4
11009,4
11010,4
11011,4
11012,3
11013,2
11014,6
11015,3
11017,3
11018,3
11021,3
11022,1
11023,6
11024,4
11025,1
11028,1
11033,1
11034,1
11035,1
11036,2
11037,2
11039,7
11040,3
11041,1
11042,2
11049,2
11051,1
11052,2
11069,1
11081,2
11083,3
11090,4
11091,2
11092,1
11093,8
11094,3
11095,1
11096,3
11097,3
11098,13
11112,1
11113,4
11116,4
11120,9
11125,1
11132,5
11134,4
11136,2
11139,2
11143,2
11144,20
11145,24
11146,5
11170,4
11175,1
11179,3
1118,3
11181,1
11182,3
11183,1
11184,12
11185,7
11189,4
11190,4
11191,14
11192,19
11193,18
11194,15
11195,8
11196,12
11200,16
11201,7
11202,7
11203,8
11204,3
11206,1
11207,1
11208,10
11209,9
11210,2
11211,3
11212,9
11213,4
11214,1
11215,7
11217,15
11218,1
11219,1
11229,3
11230,3
11231,18
11232,1
11233,1
11235,7
11236,6
11237,1
11238,1
11243,2
11251,1
11252,7
11269,6
11270,4
11273,1
11275,1
11277,4
11278,3
11281,1
11285,6
11286,3
11288,19
11289,1
11290,3
11292,3
11293,2
11294,1
11296,4
11297,6
11298,4
11300,5
11301,4
11302,2
11303,4
11304,1
11306,3
11307,4
11308,14
11309,4
11316,2
11317,1
11318,3
11320,4
11321,1
11322,2
11323,2
11325,1
11326,1
11345,1
11346,1
11347,1
11357,2
11358,1
11359,7
11373,4
11374,2
11375,2
11376,1
11377,5
11379,6
11383,5
11385,3
11388,5
11389,3
11392,4
11393,9
11394,13
11395,3
11396,2
11398,14
11399,9
11400,8
11403,1
11407,1
11408,2
11410,6
11411,1
11412,2
11413,2
11422,1
11423,1
11438,2
11450,7
11467,1
11486,1
11492,4
11494,1
11495,5
11502,13
11504,1
11506,14
11507,5
11508,25
11509,25
11511,2
11519,2
11520,1
11521,2
11522,5
11523,4
11524,3
11531,1
11534,4
11535,1
11538,1
11539,4
11542,3
11543,1
11547,10
11548,2
11550,4
11553,2
11554,1
11555,3
11561,3
11562,6
11564,4
11566,2
11567,20
11569,4
11571,4
11572,11
11573,7
11574,4
11575,4
11576,5
11577,3
11578,7
11579,2
11580,2
11581,1
11582,2
11583,3
11585,6
11586,8
11587,1
11589,5
11590,5
11595,5
11600,3
11601,2
11603,1
11604,14
11605,1
11608,2
11609,2
11610,1
11612,1
11613,1
11614,1
11620,1
11625,2
11630,3
11636,5
11637,1
11639,3
1164,4
11640,3
11641,2
11645,1
11646,2
11647,2
1165,1
11657,1
11658,31
1166,2
11660,2
11661,3
11665,1
11666,1
11670,1
11672,2
11673,3
11676,1
11677,2
11679,1
11680,1
11681,3
11686,1
11688,5
11691,2
11692,1
11696,2
11706,2
11713,1
11718,2
11720,9
11726,3
11727,1
11728,2
11738,1
11742,4
11748,1
11750,2
11769,3
11770,1
11772,1
11773,2
11774,2
11779,3
11796,1
11806,2
11807,2
11829,3
11833,4
11834,4
11866,3
11879,8
11880,7
11881,4
11882,4
11893,1
11895,1
11901,2
11902,1
11923,1
11943,4
11946,3
1195,1
11956,1
11959,1
11960,3
11984,5
12005,1
1201,8
12060,1
12062,1
1207,3
1208,4
12088,8
12089,8
12090,10
12105,6
12106,3
12124,15
12125,5
12126,5
12128,14
12129,9
12130,3
12131,4
12132,9
12134,2
12135,1
12136,2
12137,2
1214,3
12146,4
12148,8
12153,2
12154,1
12156,7
12157,6
12158,2
12159,1
1216,2
12164,1
12165,9
12166,6
12168,1
12169,3
1217,1
12173,2
12175,2
12176,3
12178,2
12179,1
12189,4
12191,4
12193,5
12194,2
1220,4
12200,3
12201,6
12202,2
12206,5
12207,8
12208,5
12209,6
12210,5
12211,2
12212,4
12216,3
12217,1
12218,3
12219,1
1222,5
12222,1
12223,2
12224,1
12225,5
12226,3
12233,1
12235,2
12238,5
12245,4
12246,1
12248,1
1225,3
12252,5
12254,6
12255,4
12256,3
12257,4
12259,2
12263,8
12264,4
1228,2
12286,5
12292,7
12298,1
12299,1
1230,2
12300,1
1231,4
12311,1
12312,3
12313,1
