,Locality_ID,city_name
0,967,ABU JUWEI'ID
1,472,ABU GHOSH
2,473,ABU SINAN
3,935,ABU SUREIHAN
4,958,ABU  ABDUN
5,1042,ABU  AMMAR
6,932,ABU  AMRE
7,968,ABU QUREINAT
8,1342,ABU QUREINAT
9,966,ABU RUBEI'A
10,961,ABU RUQAYYEQ
11,1375,
12,652,IBTIN
13,1275,AVTALYON
14,679,AVI'EL
15,1115,AVIVIM
16,819,AVIGEDOR
17,175,AVIHAYIL
18,2052,AVITAL
19,1070,AVI'EZER
20,1220,ABBIRIM
21,182,EVEN YEHUDA
22,1081,EVEN MENAHEM
23,783,EVEN SAPPIR
24,400,EVEN SHEMU'EL
25,4011,AVNE ETAN
26,3793,AVNE HEFEZ
27,3786,AVENAT
28,1311,AVSHALOM
29,3759,ADORA
30,113,ADDIRIM
31,1068,ADAMIT
32,1123,ADDERET
33,446,UDIM
34,4010,ODEM
35,1046,OHAD
36,2710,UMM AL-FAHM
37,2024,UMM AL-QUTUF
38,1358,
39,1108,OMEN
40,680,OMEZ
41,31,OFAQIM
42,1294,OR HAGANUZ
43,67,OR HANER
44,2400,OR YEHUDA
45,1020,OR AQIVA
46,780,ORA
47,2012,OROT
48,4013,ORTAL
49,403,URIM
50,882,ORANIM
51,3760,ORANIT
52,278,USHA
53,565,AZOR
54,1157,AHAWA
55,821,AHUZZAM
56,1330,
57,785,AHIHUD
58,850,AHITUV
59,804,AHISAMAKH
60,797,AHI'EZER
61,965,ATRASH
62,338,IBBIM
63,716,EYAL
64,77,AYYELET HASHAHAR
65,294,ELON
66,1126,ELOT
67,49,ILANIYYA
68,2600,ELAT
69,1336,
70,3762,ITAMAR
71,37,ETAN
72,886,ETANIM
73,478,IKSAL
74,1359,
75,1339,
76,1316,AL-ARYAN
77,4003,EL-ROM
78,1145,ALUMMA
79,330,ALUMMOT
80,1182,ALLON HAGALIL
81,3579,ELON MORE
82,3604,ALLON SHEVUT
83,429,ALLONE ABBA
84,4017,ALLONE HABASHAN
85,868,ALLONE YIZHAQ
86,285,ALLONIM
87,4002,ELI AL
88,1365,
89,41,ELYAKHIN
90,1248,ELIFAZ
91,730,ELIFELET
92,682,ELYAQIM
93,204,ELYASHIV
94,841,ELISHAMA
95,1125,ALMAGOR
96,3556,ALMOG
97,1309,
98,3618,EL'AZAR
99,3750,ALFE MENASHE
100,603,ELQOSH
101,3560,ELQANA
102,772,EMUNIM
103,1064,AMIRIM
104,1253,AMNUN
105,23,AMAZYA
106,4012,ANI'AM
107,960,ASAD
108,3754,ASEFAR
109,529,I'BILLIN
110,963,A'SAM
111,959,AFEINISH
112,4301,AFIQ
113,176,AFIQIM
114,313,AFEQ
115,3650,EFRATA
116,701,ARBEL
117,3598,ARGAMAN
118,714,EREZ
119,3570,ARI'EL
120,1324,ARSUF
121,71,ESHBOL
122,1276,NAHAL ESHBAL
123,70,ASHDOD
124,199,ASHDOT YA'AQOV(IHUD)
125,188,ASHDOT YA'AQOV(ME'UH
126,1188,ESHHAR
127,3722,ESHKOLOT
128,2021,ESHEL HANASI
129,1152,ASHALIM
130,7100,ASHQELON
131,1256,ASHERAT
132,740,ESHTA'OL
133,1298,ETGAR
134,6000,
135,21,BE'ER ORA
136,1376,
137,155,BE'ER TUVEYA
138,2530,BE'ER YA'AQOV
139,1278,
140,9000,BE'ER SHEVA
141,450,BE'EROT YIZHAQ
142,697,BE'EROTAYIM
143,399,BE'ERI
144,559,BUSTAN HAGALIL
145,482,BU'EINE-NUJEIDAT
146,4001,BUQ'ATA
147,698,BURGETA
148,2043,BAHAN
149,762,BITHA
150,234,BIZZARON
151,998,BIR EL-MAKSUR
152,1348,
153,368,BIRIYYA
154,317,BET OREN
155,3574,BET EL
156,562,BET EL'AZARI
157,95,BET ALFA
158,3652,BET ARYE
159,1076,BET BERL
160,480,BEIT JANN
161,619,BET GUVRIN
162,571,BET GAMLI'EL
163,466,BET DAGAN
164,723,BET HAGADDI
165,373,BET HALEVI
166,322,BET HILLEL
167,572,BET HAEMEQ
168,3645,BET HAARAVA
169,242,BET HASHITTA
170,353,BET ZEID
171,710,BET ZAYIT
172,143,BET ZERA
173,3575,BET HORON
174,877,BET HERUT
175,2033,BET HILQIYYA
176,159,BET HANAN
177,800,BET HANANYA
178,1050,BET HASHMONAY
179,288,BET YEHOSHUA
180,265,BET YOSEF
181,200,BET YANNAY
182,326,BET YIZHAQ-SH. HEFER
183,430,BET LEHEM HAGELILIT
184,751,BET ME'IR
185,784,BET NEHEMYA
186,16,BET NIR
187,672,BET NEQOFA
188,202,BET OVED
189,301,BET UZZI'EL
190,756,BET EZRA
191,604,BET ARIF
192,212,BET ZEVI
193,598,BET QAMA
194,365,BET QESHET
195,848,BET RABBAN
196,1162,BET RIMMON
197,9200,BET SHE'AN
198,2610,BET SHEMESH
199,248,BET SHE'ARIM
200,747,BET SHIQMA
201,252,BITAN AHARON
202,3780,BETAR ILLIT
203,94,BALFURIYYA
204,760,BEN ZAKKAY
205,712,BEN AMMI
206,1084,BEN SHEMEN(K.NO'AR)
207,2013,BEN SHEMEN (MOSHAV)
208,6100,BENE BERAQ
209,1368,BNE DKALIM
210,592,BENE DAROM
211,386,BENE DEROR
212,4015,BENE YEHUDA
213,1363,BENE NEZARIM
214,448,BENE ATAROT
215,1066,BENE AYISH
216,418,BENE ZIYYON
217,588,BENE RE'EM
218,685,BENAYA
219,9800,BINYAMINA
220,1326,BASMA
221,944,BASMAT TAB'UN
222,483,BI NE
223,389,BAZRA
224,589,BEZET
225,864,BEQOA
226,3612,BEQA'OT
227,823,BAR GIYYORA
228,1191,BAR YOHAY
229,3744,
230,428,BEROR HAYIL
231,2060,BEROSH
232,3710,BERAKHA
233,746,BEREKHYA
234,667,BAR'AM
235,141,BARAQ
236,617,BARQAY
237,3654,BARQAN
238,2038,BAREQET
239,1323,BAT HADAR
240,1361,BAT HEN
241,1319,BAT HEFER
