gush_number,Locality ID
14433,861
14425,0
29825,0
29826,0
29835,0
29827,3000
29911,0
29923,779
29912,3000
29926,3000
17512,542
13817,26
15481,292
15480,292
15370,306
15355,306
15368,306
15369,306
15360,306
15358,306
15508,65
3736,174
14286,623
14376,2063
14368,2063
14303,688
14307,688
14302,688
14371,2063
14300,688
14372,2063
14314,688
14313,688
14317,688
14323,688
14316,688
14321,688
14322,688
14318,688
14443,0
14431,861
14432,861
14420,0
15440,46
29637,740
29723,2610
29751,2610
2915,692
3582,147
3568,147
3825,562
3592,562
3586,562
4712,615
2624,147
3593,562
3605,615
4705,615
8880,634
369,7100
370,7100
1195,7100
1221,7100
1166,7100
1161,7100
2927,766
2943,815
2954,2051
2762,234
2757,406
2756,406
15182,176
15184,176
15183,176
17351,46
15208,0
15720,264
15707,264
15702,263
15213,264
15709,143
15712,263
4515,440
3599,615
4520,440
4895,0
4891,0
4894,0
4896,0
4892,0
4890,0
2034,0
2035,0
4893,0
4884,0
2032,0
4886,0
4883,0
2644,144
2627,147
3808,562
3584,147
3562,147
2629,147
3569,147
5278,597
5281,597
5279,597
5280,597
4935,597
4933,597
4931,597
4930,597
4927,2660
3763,159
4915,597
17356,46
2671,699
1165,7100
5316,1200
5337,1200
5336,1200
5335,1200
14263,664
14262,664
14268,664
14264,664
14267,664
14266,664
14271,664
14454,609
1212,7100
3020,7100
1207,7100
1211,7100
1658,7100
1480,7100
203001,0
202001,4024
2007,0
1990,0
1989,0
2008,0
1992,0
1991,0
1987,0
1988,0
1982,0
1986,0
1981,0
1985,0
1980,0
1984,0
2526,756
1983,0
1978,0
1977,0
2672,699
2675,699
2681,359
2673,699
2701,699
2702,107
2568,747
1387,0
1388,0
1275,0
1381,0
1439,0
1368,0
2832,584
1640,0
1261,342
1644,0
2172,0
2852,358
1649,820
1643,0
2849,358
2170,0
2169,0
2168,820
2178,0
2177,820
2166,820
2142,820
14127,487
14090,487
14089,487
14131,487
14132,487
14113,487
14115,487
14335,1115
14338,1115
14340,1115
14337,1115
14336,1115
14341,1115
14342,1115
14301,688
14179,540
14056,431
14182,540
14057,431
14139,487
14122,487
14123,487
14141,487
14124,487
14138,487
14094,487
14114,487
14140,487
14137,487
18740,1295
18731,1295
19539,607
19569,607
19563,607
19567,607
19564,607
19566,607
19570,607
19561,607
19558,480
19133,522
19155,522
19132,522
19138,522
18626,518
18709,1263
19832,1081
19831,1081
19721,535
19684,535
14339,1115
14456,609
14458,609
18971,483
14088,487
14095,487
14128,487
14181,540
14064,431
14459,609
8380,219
8479,235
11518,494
12285,317
11284,537
11279,537
20290,2710
20335,2710
20325,2710
12423,444
20350,2710
20425,640
10224,50
20334,2710
10167,9800
14063,431
14065,431
14054,431
14055,431
14062,431
14053,431
14041,0
14060,431
14061,431
14071,0
14043,0
14042,0
14072,0
14069,0
14045,0
14032,0
14073,0
14047,0
14046,0
14034,0
14070,0
13678,607
19549,546
14066,431
14183,540
14172,540
20374,0
20371,1326
20380,0
20379,0
20370,0
20378,0
1113,0
1095,0
2735,2045
4932,0
4926,0
4934,0
4925,0
4924,0
4911,2660
4900,2660
4903,2660
4899,2660
4902,2660
4901,2660
4916,2660
11004,738
10399,541
10400,541
10222,9800
11005,738
12284,9300
5367,3062
3075,0
2682,726
2685,726
2560,0
1150,0
2302,564
2602,0
2212,588
2201,888
2603,888
2699,0
2716,2011
517,2045
2734,2045
34107,392
1702,2045
34010,2045
2931,553
34074,393
1695,2045
34068,0
34053,2045
34048,2045
34049,2045
34044,2045
34055,619
34117,2045
34094,393
34204,619
34207,619
34118,2045
34208,393
12155,637
12154,637
12170,637
12159,617
12160,617
20383,0
5129,0
5069,0
3856,0
5062,0
5071,0
3854,0
3855,0
3859,0
34349,0
3860,0
5046,0
3861,0
3862,0
5070,0
3863,0
5372,0
5369,3709
5397,0
5371,0
5395,0
5394,0
29881,1254
4333,0
4851,864
29886,0
4852,864
5765,0
4331,0
29890,0
29640,740
4329,0
5769,0
4330,0
5400,0
29641,740
4568,464
29693,0
29642,740
29662,742
4557,0
29691,0
29643,740
4567,0
29661,742
5132,0
29645,740
34327,0
4285,0
4284,0
4279,0
4286,0
4275,0
4288,0
4287,0
34334,794
13341,324
14016,843
14030,843
14017,843
14026,843
14029,843
14018,843
13330,324
14359,372
14357,2063
34337,0
34340,0
34050,0
34073,393
34041,0
34045,0
34042,0
34320,0
34046,0
34043,0
34321,0
4283,0
4289,0
4290,0
34051,0
34047,0
34330,0
34127,2045
19565,607
19529,607
19557,607
19556,607
14373,2063
14324,688
1963,7100
1964,7100
2390,7100
14010,843
14027,843
14015,843
5041,0
5072,0
34348,0
4281,0
4282,0
34350,10
4280,0
2525,756
2752,320
2553,727
2712,2011
2713,2011
528,593
521,155
520,0
2715,2011
2714,2011
2728,163
14353,2063
14354,2063
14360,2063
14356,2063
14367,2063
14399,596
14351,2063
14352,2063
14355,2063
14366,2063
19505,480
19575,480
19522,480
19527,480
19517,480
14237,1067
14227,578
14135,487
19514,480
14136,487
2243,700
2591,817
2594,817
2595,817
334,155
2598,817
2599,817
2766,0
2517,763
458,155
2592,817
2764,0
2593,70
2024,0
2532,793
2009,0
2524,756
29871,0
29873,0
29855,0
29874,0
34301,0
34303,0
34325,1079
34309,0
34311,0
34317,0
5058,0
5059,0
5060,0
5057,0
5184,0
5188,567
5043,0
29859,0
29838,0
29857,0
5055,0
5045,0
5063,0
5044,0
5056,0
5042,0
5073,0
5075,0
5061,0
5074,0
29867,0
34347,0
29870,0
29872,0
29675,3000
29672,3000
5222,0
34346,0
29766,0
29779,0
29776,823
29781,0
29784,0
5078,0
5082,27
5080,27
34161,799
34163,799
29810,0
34289,1070
2732,163
2733,163
2739,819
1041,155
34154,799
34155,799
34165,799
34166,799
29829,0
1163,7100
2564,791
19113,1208
14211,578
14217,578
19464,496
14236,1067
14214,578
11276,33
10664,1167
2541,2012
3074,0
14218,578
14219,578
14223,578
14225,578
14224,578
4917,2660
4912,2660
4910,2660
2217,588
29716,0
29727,859
29726,859
29722,0
29674,3000
29670,3000
5221,0
5226,0
29671,3000
29715,0
29724,0
2926,766
5687,1200
2781,888
16569,7300
16518,7300
3812,28
3868,2550
3867,2550
3866,2550
5001,2550
3865,2550
3864,2550
1081,0
2862,315
20521,1128
3811,862
14151,962
10158,6800
11013,6800
6852,1304
5489,2640
20314,642
15288,6700
3981,7000
3979,7000
2392,2011
14019,843
4652,1200
13161,2800
13139,2800
17391,509
17390,509
34310,0
388,7100
16943,1061
16933,532
16942,1061
16550,1061
16945,1061
16570,7300
16574,7300
18804,570
14238,1067
14254,1067
14235,1067
14234,1067
3991,7000
34336,0
8980,190
10624,327
17393,509
15277,46
15433,46
17347,46
15434,46
17348,46
15190,273
15191,273
15192,273
15197,0
17139,534
12274,2100
11135,112
10464,0
11142,112
11128,112
11141,112
11133,890
11164,96
17285,46
3072,0
2686,726
1086,0
2773,0
3071,0
2779,155
11563,4000
1444,7100
1922,7100
2579,706
1442,0
1443,0
1380,0
1370,744
1369,744
1440,0
1403,55
34071,393
34070,393
34201,619
2941,815
13445,76
2912,692
14250,667
15483,46
13260,1191
14014,843
5651,1310
5649,1166
5636,1165
5597,0
5592,1141
5600,1141
7175,6600
7239,2400
29713,3070
17552,1190
17759,1190
4654,1200
13338,345
13545,345
13546,345
10623,327
14231,667
14233,667
1203,7100
3041,7100
3044,7100
3045,7100
3042,7100
3047,7100
3048,7100
8325,235
8563,680
15518,65
2518,7100
10895,4000
5150,8500
13125,322
13124,322
7187,696
11720,4000
12497,4000
12483,4000
8226,850
5288,1273
5689,1200
5647,1273
5648,1166
5650,1310
13313,667
13312,380
13299,380
13314,380
14393,596
14390,596
14392,596
14395,596
17731,1061
16946,1061
5323,1200
5334,1200
5333,1200
5782,1200
5322,1200
5306,1200
5320,1200
8342,877
8341,877
9068,877
8173,758
8729,1319
14394,596
14398,596
14280,623
14288,623
14092,1213
14091,1213
14126,1213
14285,623
14284,623
14281,623
13343,345
13344,0
13339,324
13345,0
13802,35
13048,35
14396,596
14397,596
14243,667
10781,4000
13931,385
3051,7100
3052,7100
14249,667
14248,667
14242,667
14244,667
14251,667
17528,1061
13355,329
13356,329
13416,319
13493,357
13417,319
13415,319
13492,357
13418,357
5533,0
5541,0
5530,0
5543,0
5532,0
5542,0
5677,0
5527,0
5526,0
2573,747
2570,747
16590,1162
2683,726
2684,726
2695,746
2691,746
16585,1162
5531,0
4788,0
4795,0
5583,0
8727,1319
8725,1319
8723,1319
8722,1319
8077,734
14365,2063
14361,2063
19899,813
18415,1263
18418,813
18414,0
13458,852
14364,2063
13645,3088
13647,308
13459,852
14362,2063
13024,0
13021,347
14149,962
4993,685
14239,667
14245,667
14241,667
14252,667
14240,667
14247,667
14253,667
14023,843
2010,70
19521,480
4856,0
14246,667
29952,0
29959,465
18257,658
15752,508
15753,508
15751,508
3910,440
5676,0
5679,0
5675,0
5678,0
4819,0
5535,0
4144,784
5604,0
5602,0
5591,1141
5585,0
5584,0
5576,0
5577,0
5603,0
4211,0
4219,0
8348,190
2259,0
2258,0
2257,0
2127,0
2131,0
10483,178
4212,0
4098,0
4097,0
2126,0
2125,0
2124,0
4104,0
4099,1264
5601,0
4773,64
5563,1141
5580,0
5579,0
5558,0
5561,1141
4737,839
4855,0
13469,732
4776,64
