,gush_number,lat_lon,restaurant_number
0,14371,"33.058610601640076,35.539401785218956",8
1,14372,"33.06234121897475,35.54990699153093",8
2,14307,"33.06370482093162,35.511816671167125",9
3,14302,"33.06712265412472,35.48631551061534",11
4,14313,"33.059549204948254,35.51560091199973",8
5,14300,"33.06268327294169,35.47726797007813",11
6,14314,"33.05625015372477,35.52586868690829",1
7,14376,"33.05373715342209,35.545869884166486",0
8,14286,"33.06793338952586,35.47390728894583",12
9,14368,"33.06929559507799,35.53891464282459",8
10,14318,"33.03212114931575,35.51735000481424",9
11,14433,"33.0107344847798,35.521708682011806",5
12,14303,"33.069115186590004,35.49568108885088",10
13,14432,"33.01430468231955,35.530617111151024",5
14,14425,"33.00792845707195,35.533154568693725",11
15,14420,"33.01688539073755,35.538657084759244",11
16,29835,"31.762107311551762,35.09822672706015",9
17,29826,"31.759842090582353,35.08639741623014",6
18,29827,"31.754564852122037,35.08684504507523",3
19,29825,"31.76392938975758,35.09020901945179",9
20,14323,"33.048565970896824,35.53746556123501",3
21,14321,"33.046816957955045,35.52481917782198",1
22,14322,"33.046516713942125,35.5317368733753",2
23,14316,"33.04393993810804,35.50837959393266",10
24,14317,"33.04261700746263,35.51632500484222",9
25,14443,"33.02433375038602,35.530288559860765",4
26,14431,"33.01950974178631,35.52838248395622",4
27,29912,"31.748299796354523,35.102850918487576",6
28,29923,"31.741393455437564,35.129507098464146",24
29,29926,"31.739054031255087,35.1060555987827",12
30,17512,"32.7167380022855,35.3072858455603",60
31,29911,"31.75539963221762,35.095508780709906",3
32,15480,"32.7015615277117,35.480241867967266",6
33,15481,"32.70124229004668,35.48593440676504",6
34,15355,"32.700325330545326,35.47178646146394",12
35,15368,"32.694832119382994,35.46610385495488",12
36,13817,"33.017332291260374,35.578969972526885",10
37,15369,"32.69111219303603,35.46330278212713",0
38,15360,"32.688793522193464,35.46690375454792",4
39,15358,"32.69133334389477,35.45437334069487",13
40,15370,"32.69322172514109,35.46352630848497",10
41,5281,"31.92785436781478,34.72007124166657",1
42,5278,"31.929553053333105,34.7132219383157",1
43,5279,"31.923517064957803,34.710870890783426",1
44,15508,"32.84538718625843,35.49925278289842",14
45,3736,"31.93804274060461,34.756101351643444",11
46,5280,"31.920164734740013,34.71865671812208",4
47,4930,"31.915129689432586,34.703270836439216",16
48,4931,"31.915101701557507,34.71167929103296",19
49,4933,"31.914954147892537,34.717374814202884",23
50,4935,"31.914480486014217,34.72331085403751",23
51,17356,"32.71883614230463,35.504317311082254",6
52,15440,"32.708616436494594,35.48453306102424",6
53,29637,"31.77324485918607,35.02926752143195",8
54,4927,"31.908591919631174,34.698694198672854",0
55,3763,"31.903283933160157,34.75318862215142",32
56,4915,"31.900536815347795,34.69820089528852",5
57,2915,"31.691104874787083,34.742606267724085",7
58,2927,"31.663270411665273,34.73281591357186",6
59,2943,"31.65683272421269,34.751134227647945",4
60,29723,"31.766908219134674,35.036474408600725",7
61,29751,"31.765289717897044,35.0292173140158",7
62,2756,"31.772817524917823,34.721271375518626",24
63,2757,"31.776327276163144,34.72465131073348",26
64,15182,"32.79488640843786,35.649833770172236",4
65,15183,"32.78762831573459,35.652309082327584",4
66,15184,"32.788252991779146,35.64684510468871",3
67,15190,"32.75937804190696,35.64862427228693",4
68,17351,"32.72011878094021,35.53859784372138",17
69,15208,"32.69812824477098,35.63397613212233",0
70,15720,"32.69090384163677,35.634580410681544",0
71,15707,"32.68661688362955,35.604059282052255",28
72,15702,"32.68394258039319,35.58980058194917",30
73,2954,"31.652477207486005,34.729595484831286",5
74,2762,"31.800596673521216,34.72916038839936",34
75,15213,"32.68290794142581,35.64563553782276",8
76,15708,"32.68046409142572,35.606729789982985",28
77,15712,"32.675410838787386,35.60214962312038",23
78,15709,"32.67533935603253,35.59057423984079",24
79,3599,"31.820404485580855,34.81429380342582",9
80,4515,"31.80557644639022,34.850365381004664",5
81,4520,"31.80625922709489,34.860300840703076",2
82,4896,"31.87733226944147,34.68454693120818",1
83,4894,"31.876241514824425,34.693273874807176",1
84,4892,"31.87112237134764,34.70091443414807",0
85,4890,"31.87335190817058,34.70821352933326",34
86,4893,"31.86707415468437,34.693864971468244",1
87,2034,"31.869851977722462,34.68151005326416",1
88,4895,"31.879002898257546,34.69121393453682",1
89,4891,"31.877583169424515,34.70059907055797",19
90,2035,"31.86702347913111,34.685660452340436",1
91,4884,"31.86555635708265,34.70087930815337",0
92,2032,"31.860969679660755,34.673209824000246",4
93,4883,"31.859047837868392,34.70046190146659",17
94,2644,"31.865727377432265,34.77988058907167",54
95,2627,"31.851100224665853,34.783716841461654",20
96,3584,"31.846397956634863,34.79012056910145",20
97,2629,"31.845567168538032,34.77675355298566",20
98,3808,"31.84809851359177,34.81319510097521",36
99,3562,"31.84394772073824,34.78152438738703",19
100,3569,"31.842145812788324,34.78357714073394",37
101,4886,"31.860109848513073,34.70830716779118",32
102,3568,"31.837598511456072,34.78016079438552",20
103,3582,"31.8388301384175,34.78393030631479",40
104,3825,"31.83690264036428,34.828606255207106",34
105,3592,"31.83276399504569,34.81849925138249",24
106,3586,"31.830129737517694,34.81028773687764",15
107,3593,"31.829424563820414,34.827450841862685",15
108,2852,"31.591622814222028,34.55946525180609",5
109,1643,"31.591492065016666,34.642095141883516",0
110,1649,"31.589112179953712,34.65032259580395",0
111,2168,"31.582297068227167,34.64728712775848",2
112,2166,"31.57683830848128,34.65201963516538",2
113,2169,"31.5830211083658,34.64099259041419",2
114,2142,"31.573150264169215,34.652336741357416",2
115,2671,"31.697069124958357,34.630428447000256",9
116,2672,"31.697397351757377,34.63868930460431",7
117,2675,"31.688745905568343,34.62828785151652",18
118,2702,"31.679565881703354,34.613651153482564",56
119,1165,"31.652979164298156,34.595269657816765",60
120,14263,"33.05219310206982,35.46488387260398",15
121,14262,"33.04700619100367,35.4544177866931",26
122,14264,"33.04286259587117,35.46074468407587",29
123,14268,"33.04354154610596,35.474456621027",27
124,14267,"33.03831739344328,35.468261874622165",30
125,14266,"33.03290078066934,35.46256100592197",30
126,14271,"33.03010716193406,35.468659488351946",28
127,18971,"32.929163044888014,35.270876106494605",60
128,14095,"33.036684010391276,35.445615317086265",21
129,14128,"33.035351621501675,35.43589426168732",21
130,14458,"33.006052267413274,35.427985613777146",23
