gush_number,school_gan,education_type,ethnicity,religious or not
187,5,M,J,2
266,1,H,J,4
309,10,H,J,4
310,3,H,J,4
311,1,H,J,4
323,3,M,J,2
326,2,M,J,2
472,29,H,J,4
473,4,H,J,4
486,6,M,J,2
544,3,M,J,2
547,2,H,J,4
556,6,M,J,2
557,9,M,J,2
561,5,M,J,2
562,9,M,J,2
564,4,M,J,2
600,1,M,J,2
851,1,M,J,2
895,1,H,J,4
898,2,H,J,4
902,2,M,J,2
903,5,H,J,4
958,3,H,J,4
959,4,H,J,4
979,2,M,J,2
985,2,H,J,4
995,2,H,J,4
996,3,H,J,4
999,2,H,J,4
1054,2,H,J,4
1082,1,M,J,2
1118,3,M,J,2
1207,2,mixed,J,3
1231,1,M,J,2
1234,1,M,J,2
1238,2,M,J,2
1239,4,M,J,2
1241,1,M,J,2
1282,2,mixed,J,3
1296,8,M,J,2
1297,4,mixed,J,3
1335,2,mixed,J,3
1353,4,M,J,2
1490,1,M,J,2
1499,5,M,J,2
1500,3,H,J,4
1533,2,mixed,J,3
1534,8,H,J,4
1564,5,M,J,2
1565,9,H,J,4
1653,3,H,J,4
1655,3,H,J,4
1657,2,M,J,2
1694,1,H,J,4
1699,1,H,J,4
1777,2,M,J,2
1866,8,H,J,4
1881,12,H,J,4
1895,1,H,J,4
1896,3,H,J,4
1897,2,mixed,J,3
1900,3,H,J,4
1901,1,H,J,4
1902,2,H,J,4
1911,2,H,J,4
1913,4,mixed,J,3
1917,5,H,J,4
1930,2,M,J,2
1932,4,H,J,4
1933,2,M,J,2
1934,2,M,J,2
1935,2,M,J,2
1937,8,M,J,2
1942,6,M,J,2
1959,3,M,J,2
1961,2,mixed,J,3
1963,5,H,J,4
1965,2,mixed,J,3
1966,2,M,J,2
1993,10,H,J,4
1994,2,H,J,4
1995,2,M,J,2
1996,6,H,J,4
1997,1,H,J,4
1998,4,mixed,J,3
2023,9,H,J,4
2061,6,H,J,4
2065,2,mixed,J,3
2066,11,H,J,4
2067,1,M,J,2
2068,12,mixed,J,3
2071,13,M,J,2
2072,1,M,J,2
2073,1,H,J,4
2074,4,mixed,J,3
2076,2,mixed,J,3
2077,1,M,J,2
2080,1,M,J,2
2086,3,M,J,2
2088,4,M,J,2
2166,1,H,J,4
2188,3,H,J,4
2189,12,M,J,2
2190,2,mixed,J,3
2191,5,M,J,2
2193,6,M,J,2
2194,2,M,J,2
2195,6,H,J,4
2196,2,M,J,2
2197,3,M,J,2
2242,3,M,J,2
2249,1,H,J,4
2251,1,H,J,4
2295,2,H,J,4
2302,2,M,J,2
2328,2,M,J,2
2381,1,H,J,4
2383,1,H,J,4
2384,4,M,J,2
2385,2,mixed,J,3
2386,3,M,J,2
2387,1,H,J,4
2388,4,M,J,2
2389,1,M,J,2
2391,2,M,J,2
2393,2,M,J,2
2394,3,M,J,2
2395,4,M,J,2
2396,5,M,J,2
2397,2,M,J,2
2398,2,M,J,2
2400,2,M,J,2
2405,1,H,J,4
2407,9,M,J,2
2411,11,H,J,4
2413,1,H,J,4
2422,5,H,J,4
2423,1,H,J,4
2431,1,H,J,4
2432,2,M,J,2
2436,1,M,J,2
2437,3,H,J,4
2438,5,H,J,4
2439,4,M,J,2
2440,5,M,J,2
2447,3,M,J,2
2448,3,M,J,2
2449,1,M,J,2
2450,11,M,J,2
2453,2,H,J,4
2455,5,H,J,4
2456,1,M,J,2
2457,3,H,J,4
2458,2,mixed,J,3
2459,2,mixed,J,3
2460,1,H,J,4
2462,11,H,J,4
2463,1,H,J,4
2464,4,H,J,4
2465,6,H,J,4
2467,3,H,J,4
2481,10,H,J,4
2486,1,H,J,4
2487,3,H,J,4
2488,1,M,J,2
2497,1,M,J,2
2498,2,H,J,4
2499,4,H,J,4
2505,1,M,J,2
2506,4,M,J,2
2507,4,mixed,J,3
2508,1,H,J,4
2523,2,M,J,2
2527,3,H,J,4
2530,2,H,J,4
2543,1,M,J,2
2552,1,M,J,2
2556,4,M,J,2
2557,7,M,J,2
2561,3,M,J,2
2572,2,mixed,J,3
2578,2,M,J,2
2597,4,M,J,2
2600,1,M,J,2
2607,2,M,J,2
2609,2,mixed,J,3
2634,7,M,J,2
2645,1,M,J,2
2647,2,M,J,2
2648,2,mixed,J,3
2670,6,M,J,2
2674,2,M,J,2
2678,2,mixed,J,3
2679,3,M,J,2
2680,2,mixed,J,3
2683,2,mixed,J,3
2692,1,H,J,4
2704,2,M,J,2
2707,5,M,J,2
2709,4,M,J,2
2712,3,M,J,2
2717,1,M,J,2
2720,3,M,J,2
2731,2,M,J,2
2741,2,M,J,2
2745,1,H,J,4
2749,2,M,J,2
2753,7,M,J,2
2754,4,M,J,2
2756,2,M,J,2
2759,2,M,J,2
2763,2,M,J,2
2767,2,M,J,2
2768,1,M,J,2
2782,3,H,J,4
2783,5,H,J,4
2784,1,H,J,4
2786,2,M,J,2
2791,4,mixed,J,3
2792,3,M,J,2
2800,1,M,J,2
2815,4,M,J,2
2816,2,M,J,2
2818,1,M,J,2
2832,2,M,J,2
2836,2,M,J,2
2839,2,M,J,2
2840,4,H,J,4
2845,1,M,J,2
2849,1,M,J,2
2852,1,M,J,2
2863,2,M,J,2
2869,7,M,J,2
2870,4,M,J,2
2871,6,M,J,2
2878,2,M,J,2
2879,1,M,J,2
2881,2,M,J,2
2882,1,H,J,4
2901,3,H,J,4
2904,1,M,J,2
2906,2,H,J,4
2910,2,M,J,2
2912,3,H,J,4
2917,4,M,J,2
2923,2,H,J,4
2926,1,H,J,4
2933,1,M,J,2
2942,1,H,J,4
2946,2,H,J,4
2954,1,H,J,4
2961,1,H,J,4
2973,2,M,J,2
2985,1,H,J,4
2992,1,M,J,2
2995,1,H,J,4
3012,5,H,J,4
3013,2,mixed,J,3
3014,1,M,J,2
3015,5,M,J,2
3017,2,H,J,4
3019,4,H,J,4
3020,3,M,J,2
3021,2,mixed,J,3
3022,2,mixed,J,3
3025,1,H,J,4
3029,5,H,J,4
3034,2,mixed,J,3
3035,3,H,J,4
3037,2,mixed,J,3
3041,6,M,J,2
3042,1,H,J,4
3043,1,H,J,4
3044,2,H,J,4
3045,2,mixed,J,3
3046,5,M,J,2
3047,1,M,J,2
3049,1,M,J,2
3053,1,H,J,4
3055,6,H,J,4
3057,1,M,J,2
3061,3,H,J,4
3085,2,M,J,2
3093,2,M,J,2
3095,1,H,J,4
3099,2,M,J,2
3123,3,M,J,2
3124,2,H,J,4
3133,5,H,J,4
3134,4,H,J,4
3135,3,M,J,2
3140,1,H,J,4
3142,1,M,J,2
3147,3,M,J,2
3152,4,H,J,4
3161,1,M,J,2
3199,1,M,J,2
3207,2,H,J,4
3253,1,H,J,4
3511,1,M,J,2
3512,8,H,J,4
3514,7,M,J,2
3516,1,H,J,4
3629,8,M,J,2
3636,6,M,J,2
3637,10,M,J,2
3638,3,M,J,2
3639,3,M,J,2
3641,5,M,J,2
3644,2,M,J,2
3646,1,M,J,2
3647,2,M,J,2
3648,4,M,J,2
3653,7,M,J,2
3655,7,M,J,2
3656,1,H,J,4
3694,21,M,J,2
3697,28,M,J,2
3698,17,M,J,2
3699,12,M,J,2
3700,13,H,J,4
3701,3,M,J,2
3702,7,M,J,2
3703,29,M,J,2
3704,22,H,J,4
3705,10,H,J,4
3715,2,mixed,J,3
3750,10,M,J,2
3753,2,M,J,2
3769,3,M,J,2
